shipment_id,order_id,status,shipped_at,delivered_at
S29,O29,pending,2024-01-02 04:40:00,2024-01-04 04:40:00
S30,O30,pending,2024-01-02 04:50:00,2024-01-04 05:50:00
S31,O31,shipped,2024-01-02 05:00:00,2024-01-04 15:00:00
S32,O32,shipped,2024-01-02 05:10:00,2024-01-04 07:10:00
S33,O33,shipped,2024-01-02 05:20:00,2024-01-04 14:20:00
S34,O34,delivered,2024-01-02 05:30:00,2024-01-04 09:30:00
S35,O35,shipped,2024-01-02 05:40:00,2024-01-04 08:40:00
S36,O36,pending,2024-01-02 05:50:00,2024-01-04 13:50:00
S37,O37,delivered,2024-01-02 06:00:00,2024-01-04 08:00:00
S38,O38,shipped,2024-01-02 06:10:00,2024-01-04 06:10:00
S39,O39,delivered,2024-01-02 06:20:00,2024-01-04 15:20:00
S40,O40,pending,2024-01-02 06:30:00,2024-01-04 07:30:00
S41,O41,pending,2024-01-02 06:40:00,2024-01-04 13:40:00
S42,O42,pending,2024-01-02 06:50:00,2024-01-04 07:50:00
S43,O43,shipped,2024-01-02 07:00:00,2024-01-04 14:00:00
S44,O44,pending,2024-01-02 07:10:00,2024-01-04 14:10:00
S45,O45,shipped,2024-01-02 07:20:00,2024-01-04 09:20:00
S46,O46,delivered,2024-01-02 07:30:00,2024-01-04 08:30:00
S47,O47,pending,2024-01-02 07:40:00,2024-01-04 16:40:00
S48,O48,shipped,2024-01-02 07:50:00,2024-01-04 14:50:00
S49,O49,delivered,2024-01-02 08:00:00,2024-01-04 17:00:00
S50,O50,delivered,2024-01-02 08:10:00,2024-01-04 11:10:00
S51,O51,pending,2024-01-02 08:20:00,2024-01-04 13:20:00
S52,O52,pending,2024-01-02 08:30:00,2024-01-04 18:30:00
S53,O53,delivered,2024-01-02 08:40:00,2024-01-04 08:40:00
S54,O54,pending,2024-01-02 08:50:00,2024-01-04 11:50:00
S55,O55,delivered,2024-01-02 09:00:00,2024-01-04 19:00:00
S56,O56,delivered,2024-01-02 09:10:00,2024-01-04 18:10:00
S57,O57,pending,2024-01-02 09:20:00,2024-01-04 16:20:00
S58,O58,shipped,2024-01-02 09:30:00,2024-01-04 11:30:00
S59,O59,pending,2024-01-02 09:40:00,2024-01-04 10:40:00
S60,O60,shipped,2024-01-02 09:50:00,2024-01-04 13:50:00
S61,O61,shipped,2024-01-02 10:00:00,2024-01-04 15:00:00
S62,O62,delivered,2024-01-02 10:10:00,2024-01-04 10:10:00
S63,O63,pending,2024-01-02 10:20:00,2024-01-04 12:20:00
S64,O64,delivered,2024-01-02 10:30:00,2024-01-04 20:30:00
S65,O65,shipped,2024-01-02 10:40:00,2024-01-04 18:40:00
S66,O66,delivered,2024-01-02 10:50:00,2024-01-04 10:50:00
S67,O67,delivered,2024-01-02 11:00:00,2024-01-04 18:00:00
S68,O68,delivered,2024-01-02 11:10:00,2024-01-04 13:10:00
S69,O69,pending,2024-01-02 11:20:00,2024-01-04 17:20:00
S70,O70,pending,2024-01-02 11:30:00,2024-01-04 19:30:00
S71,O71,shipped,2024-01-02 11:40:00,2024-01-04 13:40:00
S72,O72,pending,2024-01-02 11:50:00,2024-01-04 20:50:00
S73,O73,shipped,2024-01-02 12:00:00,2024-01-04 12:00:00
S74,O74,pending,2024-01-02 12:10:00,2024-01-04 15:10:00
S75,O75,shipped,2024-01-02 12:20:00,2024-01-04 17:20:00
S76,O76,delivered,2024-01-02 12:30:00,2024-01-04 22:30:00
S77,O77,shipped,2024-01-02 12:40:00,2024-01-04 16:40:00
S78,O78,shipped,2024-01-02 12:50:00,2024-01-04 19:50:00
S79,O79,shipped,2024-01-02 13:00:00,2024-01-04 14:00:00
S80,O80,shipped,2024-01-02 13:10:00,2024-01-04 17:10:00
S81,O81,pending,2024-01-02 13:20:00,2024-01-04 19:20:00
S82,O82,pending,2024-01-02 13:30:00,2024-01-04 21:30:00
S83,O83,pending,2024-01-02 13:40:00,2024-01-04 23:40:00
S84,O84,shipped,2024-01-02 13:50:00,2024-01-04 19:50:00
S85,O85,pending,2024-01-02 14:00:00,2024-01-04 20:00:00
S86,O86,shipped,2024-01-02 14:10:00,2024-01-04 22:10:00
S87,O87,delivered,2024-01-02 14:20:00,2024-01-04 18:20:00
S88,O88,delivered,2024-01-02 14:30:00,2024-01-04 21:30:00
S89,O89,pending,2024-01-02 14:40:00,2024-01-04 23:40:00
S90,O90,pending,2024-01-02 14:50:00,2024-01-04 15:50:00
S91,O91,pending,2024-01-02 15:00:00,2024-01-04 17:00:00
S92,O92,delivered,2024-01-02 15:10:00,2024-01-04 22:10:00
S93,O93,delivered,2024-01-02 15:20:00,2024-01-04 17:20:00
S94,O94,delivered,2024-01-02 15:30:00,2024-01-04 22:30:00
S95,O95,delivered,2024-01-02 15:40:00,2024-01-05 00:40:00
S96,O96,shipped,2024-01-02 15:50:00,2024-01-04 17:50:00
S97,O97,shipped,2024-01-02 16:00:00,2024-01-04 22:00:00
S98,O98,pending,2024-01-02 16:10:00,2024-01-04 16:10:00
S99,O99,delivered,2024-01-02 16:20:00,2024-01-05 02:20:00
S100,O100,pending,2024-01-02 16:30:00,2024-01-04 16:30:00
S101,O101,delivered,2024-01-02 16:40:00,2024-01-05 01:40:00
S102,O102,delivered,2024-01-02 16:50:00,2024-01-05 01:50:00
S103,O103,delivered,2024-01-02 17:00:00,2024-01-04 22:00:00
S104,O104,delivered,2024-01-02 17:10:00,2024-01-04 17:10:00
S105,O105,shipped,2024-01-02 17:20:00,2024-01-04 23:20:00
S106,O106,shipped,2024-01-02 17:30:00,2024-01-05 02:30:00
S107,O107,pending,2024-01-02 17:40:00,2024-01-04 19:40:00
S108,O108,pending,2024-01-02 17:50:00,2024-01-04 18:50:00
S109,O109,shipped,2024-01-02 18:00:00,2024-01-05 00:00:00
S110,O110,shipped,2024-01-02 18:10:00,2024-01-04 23:10:00
S111,O111,delivered,2024-01-02 18:20:00,2024-01-04 21:20:00
S112,O112,pending,2024-01-02 18:30:00,2024-01-05 03:30:00
S113,O113,shipped,2024-01-02 18:40:00,2024-01-05 04:40:00
S114,O114,shipped,2024-01-02 18:50:00,2024-01-05 02:50:00
S115,O115,delivered,2024-01-02 19:00:00,2024-01-05 05:00:00
S116,O116,pending,2024-01-02 19:10:00,2024-01-04 20:10:00
S117,O117,delivered,2024-01-02 19:20:00,2024-01-05 04:20:00
S118,O118,shipped,2024-01-02 19:30:00,2024-01-05 03:30:00
S119,O119,delivered,2024-01-02 19:40:00,2024-01-05 03:40:00
S120,O120,shipped,2024-01-02 19:50:00,2024-01-05 03:50:00
S121,O121,shipped,2024-01-02 20:00:00,2024-01-04 21:00:00
S122,O122,pending,2024-01-02 20:10:00,2024-01-05 03:10:00
S123,O123,shipped,2024-01-02 20:20:00,2024-01-04 22:20:00
S124,O124,pending,2024-01-02 20:30:00,2024-01-05 00:30:00
S125,O125,shipped,2024-01-02 20:40:00,2024-01-04 21:40:00
S126,O126,shipped,2024-01-02 20:50:00,2024-01-04 22:50:00
S127,O127,pending,2024-01-02 21:00:00,2024-01-05 01:00:00
S128,O128,pending,2024-01-02 21:10:00,2024-01-04 23:10:00
S129,O129,shipped,2024-01-02 21:20:00,2024-01-05 07:20:00
S130,O130,shipped,2024-01-02 21:30:00,2024-01-05 07:30:00
S131,O131,shipped,2024-01-02 21:40:00,2024-01-05 06:40:00
S132,O132,shipped,2024-01-02 21:50:00,2024-01-05 04:50:00
S133,O133,delivered,2024-01-02 22:00:00,2024-01-05 02:00:00
S134,O134,shipped,2024-01-02 22:10:00,2024-01-05 00:10:00
S135,O135,delivered,2024-01-02 22:20:00,2024-01-05 06:20:00
S136,O136,delivered,2024-01-02 22:30:00,2024-01-05 05:30:00
S137,O137,pending,2024-01-02 22:40:00,2024-01-05 04:40:00
S138,O138,delivered,2024-01-02 22:50:00,2024-01-05 03:50:00
S139,O139,shipped,2024-01-02 23:00:00,2024-01-05 03:00:00
S140,O140,delivered,2024-01-02 23:10:00,2024-01-05 01:10:00
S141,O141,delivered,2024-01-02 23:20:00,2024-01-05 05:20:00
S142,O142,delivered,2024-01-02 23:30:00,2024-01-04 23:30:00
S143,O143,delivered,2024-01-02 23:40:00,2024-01-05 09:40:00
S144,O144,pending,2024-01-02 23:50:00,2024-01-05 03:50:00
S145,O145,shipped,2024-01-03 00:00:00,2024-01-05 08:00:00
S146,O146,shipped,2024-01-03 00:10:00,2024-01-05 07:10:00
S147,O147,delivered,2024-01-03 00:20:00,2024-01-05 04:20:00
S148,O148,pending,2024-01-03 00:30:00,2024-01-05 00:30:00
S149,O149,shipped,2024-01-03 00:40:00,2024-01-05 03:40:00
S150,O150,shipped,2024-01-03 00:50:00,2024-01-05 01:50:00
S151,O151,delivered,2024-01-03 01:00:00,2024-01-05 06:00:00
S152,O152,delivered,2024-01-03 01:10:00,2024-01-05 11:10:00
S153,O153,delivered,2024-01-03 01:20:00,2024-01-05 03:20:00
S154,O154,pending,2024-01-03 01:30:00,2024-01-05 01:30:00
S155,O155,pending,2024-01-03 01:40:00,2024-01-05 10:40:00
S156,O156,pending,2024-01-03 01:50:00,2024-01-05 07:50:00
S157,O157,delivered,2024-01-03 02:00:00,2024-01-05 06:00:00
S158,O158,shipped,2024-01-03 02:10:00,2024-01-05 07:10:00
S159,O159,delivered,2024-01-03 02:20:00,2024-01-05 08:20:00
S160,O160,pending,2024-01-03 02:30:00,2024-01-05 06:30:00
S161,O161,pending,2024-01-03 02:40:00,2024-01-05 08:40:00
S162,O162,delivered,2024-01-03 02:50:00,2024-01-05 09:50:00
S163,O163,delivered,2024-01-03 03:00:00,2024-01-05 07:00:00
S164,O164,pending,2024-01-03 03:10:00,2024-01-05 04:10:00
S165,O165,pending,2024-01-03 03:20:00,2024-01-05 03:20:00
S166,O166,delivered,2024-01-03 03:30:00,2024-01-05 13:30:00
S167,O167,delivered,2024-01-03 03:40:00,2024-01-05 07:40:00
S168,O168,shipped,2024-01-03 03:50:00,2024-01-05 13:50:00
S169,O169,pending,2024-01-03 04:00:00,2024-01-05 11:00:00
S170,O170,pending,2024-01-03 04:10:00,2024-01-05 04:10:00
S171,O171,shipped,2024-01-03 04:20:00,2024-01-05 04:20:00
S172,O172,delivered,2024-01-03 04:30:00,2024-01-05 07:30:00
S173,O173,pending,2024-01-03 04:40:00,2024-01-05 10:40:00
S174,O174,shipped,2024-01-03 04:50:00,2024-01-05 11:50:00
S175,O175,pending,2024-01-03 05:00:00,2024-01-05 06:00:00
S176,O176,pending,2024-01-03 05:10:00,2024-01-05 06:10:00
S177,O177,shipped,2024-01-03 05:20:00,2024-01-05 08:20:00
S178,O178,pending,2024-01-03 05:30:00,2024-01-05 13:30:00
S179,O179,pending,2024-01-03 05:40:00,2024-01-05 06:40:00
S180,O180,shipped,2024-01-03 05:50:00,2024-01-05 10:50:00
S181,O181,shipped,2024-01-03 06:00:00,2024-01-05 07:00:00
S182,O182,delivered,2024-01-03 06:10:00,2024-01-05 08:10:00
S183,O183,delivered,2024-01-03 06:20:00,2024-01-05 08:20:00
S184,O184,delivered,2024-01-03 06:30:00,2024-01-05 14:30:00
S185,O185,delivered,2024-01-03 06:40:00,2024-01-05 09:40:00
S186,O186,pending,2024-01-03 06:50:00,2024-01-05 08:50:00
S187,O187,shipped,2024-01-03 07:00:00,2024-01-05 07:00:00
S188,O188,pending,2024-01-03 07:10:00,2024-01-05 11:10:00
S189,O189,shipped,2024-01-03 07:20:00,2024-01-05 16:20:00
S190,O190,delivered,2024-01-03 07:30:00,2024-01-05 07:30:00
S191,O191,shipped,2024-01-03 07:40:00,2024-01-05 07:40:00
S192,O192,shipped,2024-01-03 07:50:00,2024-01-05 12:50:00
S193,O193,shipped,2024-01-03 08:00:00,2024-01-05 10:00:00
S194,O194,pending,2024-01-03 08:10:00,2024-01-05 17:10:00
S195,O195,delivered,2024-01-03 08:20:00,2024-01-05 12:20:00
S196,O196,pending,2024-01-03 08:30:00,2024-01-05 16:30:00
S197,O197,delivered,2024-01-03 08:40:00,2024-01-05 11:40:00
S198,O198,shipped,2024-01-03 08:50:00,2024-01-05 09:50:00
S199,O199,delivered,2024-01-03 09:00:00,2024-01-05 09:00:00
S200,O200,shipped,2024-01-03 09:10:00,2024-01-05 13:10:00
S201,O201,pending,2024-01-03 09:20:00,2024-01-05 10:20:00
S202,O202,shipped,2024-01-03 09:30:00,2024-01-05 09:30:00
S203,O203,delivered,2024-01-03 09:40:00,2024-01-05 11:40:00
S204,O204,delivered,2024-01-03 09:50:00,2024-01-05 14:50:00
S205,O205,delivered,2024-01-03 10:00:00,2024-01-05 18:00:00
S206,O206,delivered,2024-01-03 10:10:00,2024-01-05 13:10:00
S207,O207,delivered,2024-01-03 10:20:00,2024-01-05 20:20:00
S208,O208,pending,2024-01-03 10:30:00,2024-01-05 12:30:00
S209,O209,shipped,2024-01-03 10:40:00,2024-01-05 14:40:00
S210,O210,shipped,2024-01-03 10:50:00,2024-01-05 20:50:00
S211,O211,delivered,2024-01-03 11:00:00,2024-01-05 15:00:00
S212,O212,delivered,2024-01-03 11:10:00,2024-01-05 13:10:00
S213,O213,shipped,2024-01-03 11:20:00,2024-01-05 17:20:00
S214,O214,delivered,2024-01-03 11:30:00,2024-01-05 12:30:00
S215,O215,pending,2024-01-03 11:40:00,2024-01-05 17:40:00
S216,O216,pending,2024-01-03 11:50:00,2024-01-05 16:50:00
S217,O217,shipped,2024-01-03 12:00:00,2024-01-05 18:00:00
S218,O218,pending,2024-01-03 12:10:00,2024-01-05 17:10:00
S219,O219,shipped,2024-01-03 12:20:00,2024-01-05 18:20:00
S220,O220,delivered,2024-01-03 12:30:00,2024-01-05 18:30:00
S221,O221,shipped,2024-01-03 12:40:00,2024-01-05 18:40:00
S222,O222,pending,2024-01-03 12:50:00,2024-01-05 19:50:00
S223,O223,pending,2024-01-03 13:00:00,2024-01-05 21:00:00
S224,O224,pending,2024-01-03 13:10:00,2024-01-05 21:10:00
S225,O225,shipped,2024-01-03 13:20:00,2024-01-05 17:20:00
S226,O226,shipped,2024-01-03 13:30:00,2024-01-05 17:30:00
S227,O227,pending,2024-01-03 13:40:00,2024-01-05 17:40:00
S228,O228,delivered,2024-01-03 13:50:00,2024-01-05 20:50:00
S229,O229,shipped,2024-01-03 14:00:00,2024-01-05 18:00:00
S230,O230,shipped,2024-01-03 14:10:00,2024-01-05 16:10:00
S231,O231,shipped,2024-01-03 14:20:00,2024-01-05 14:20:00
S232,O232,delivered,2024-01-03 14:30:00,2024-01-05 14:30:00
S233,O233,shipped,2024-01-03 14:40:00,2024-01-05 23:40:00
S234,O234,shipped,2024-01-03 14:50:00,2024-01-05 22:50:00
S235,O235,shipped,2024-01-03 15:00:00,2024-01-05 18:00:00
S236,O236,shipped,2024-01-03 15:10:00,2024-01-05 16:10:00
S237,O237,shipped,2024-01-03 15:20:00,2024-01-05 16:20:00
S238,O238,shipped,2024-01-03 15:30:00,2024-01-05 16:30:00
S239,O239,shipped,2024-01-03 15:40:00,2024-01-05 21:40:00
S240,O240,shipped,2024-01-03 15:50:00,2024-01-05 21:50:00
S241,O241,shipped,2024-01-03 16:00:00,2024-01-06 00:00:00
S242,O242,shipped,2024-01-03 16:10:00,2024-01-05 18:10:00
S243,O243,delivered,2024-01-03 16:20:00,2024-01-06 02:20:00
S244,O244,pending,2024-01-03 16:30:00,2024-01-05 19:30:00
S245,O245,delivered,2024-01-03 16:40:00,2024-01-06 01:40:00
S246,O246,shipped,2024-01-03 16:50:00,2024-01-05 16:50:00
S247,O247,pending,2024-01-03 17:00:00,2024-01-06 01:00:00
S248,O248,delivered,2024-01-03 17:10:00,2024-01-06 00:10:00
S249,O249,shipped,2024-01-03 17:20:00,2024-01-05 23:20:00
S250,O250,pending,2024-01-03 17:30:00,2024-01-06 00:30:00
S251,O251,pending,2024-01-03 17:40:00,2024-01-06 01:40:00
S252,O252,shipped,2024-01-03 17:50:00,2024-01-06 01:50:00
S253,O253,delivered,2024-01-03 18:00:00,2024-01-05 18:00:00
S254,O254,shipped,2024-01-03 18:10:00,2024-01-06 02:10:00
S255,O255,shipped,2024-01-03 18:20:00,2024-01-05 21:20:00
S256,O256,shipped,2024-01-03 18:30:00,2024-01-05 23:30:00
S257,O257,delivered,2024-01-03 18:40:00,2024-01-05 20:40:00
S258,O258,shipped,2024-01-03 18:50:00,2024-01-06 00:50:00
S259,O259,delivered,2024-01-03 19:00:00,2024-01-06 01:00:00
S260,O260,delivered,2024-01-03 19:10:00,2024-01-06 03:10:00
S261,O261,delivered,2024-01-03 19:20:00,2024-01-06 05:20:00
S262,O262,pending,2024-01-03 19:30:00,2024-01-06 00:30:00
S263,O263,pending,2024-01-03 19:40:00,2024-01-06 04:40:00
S264,O264,shipped,2024-01-03 19:50:00,2024-01-06 01:50:00
S265,O265,delivered,2024-01-03 20:00:00,2024-01-06 06:00:00
S266,O266,delivered,2024-01-03 20:10:00,2024-01-06 02:10:00
S267,O267,delivered,2024-01-03 20:20:00,2024-01-06 01:20:00
S268,O268,shipped,2024-01-03 20:30:00,2024-01-05 20:30:00
S269,O269,shipped,2024-01-03 20:40:00,2024-01-05 23:40:00
S270,O270,shipped,2024-01-03 20:50:00,2024-01-05 23:50:00
S271,O271,delivered,2024-01-03 21:00:00,2024-01-06 00:00:00
S272,O272,delivered,2024-01-03 21:10:00,2024-01-06 01:10:00
S273,O273,pending,2024-01-03 21:20:00,2024-01-05 23:20:00
S274,O274,pending,2024-01-03 21:30:00,2024-01-06 03:30:00
S275,O275,delivered,2024-01-03 21:40:00,2024-01-06 06:40:00
S276,O276,shipped,2024-01-03 21:50:00,2024-01-06 06:50:00
S277,O277,shipped,2024-01-03 22:00:00,2024-01-06 04:00:00
S278,O278,delivered,2024-01-03 22:10:00,2024-01-06 08:10:00
S279,O279,shipped,2024-01-03 22:20:00,2024-01-06 00:20:00
S280,O280,pending,2024-01-03 22:30:00,2024-01-05 23:30:00
S281,O281,pending,2024-01-03 22:40:00,2024-01-06 07:40:00
S282,O282,shipped,2024-01-03 22:50:00,2024-01-06 04:50:00
S283,O283,delivered,2024-01-03 23:00:00,2024-01-06 04:00:00
S284,O284,shipped,2024-01-03 23:10:00,2024-01-06 00:10:00
S285,O285,delivered,2024-01-03 23:20:00,2024-01-06 09:20:00
S286,O286,shipped,2024-01-03 23:30:00,2024-01-06 02:30:00
S287,O287,shipped,2024-01-03 23:40:00,2024-01-05 23:40:00
S288,O288,pending,2024-01-03 23:50:00,2024-01-06 08:50:00
S289,O289,delivered,2024-01-04 00:00:00,2024-01-06 09:00:00
S290,O290,shipped,2024-01-04 00:10:00,2024-01-06 07:10:00
S291,O291,shipped,2024-01-04 00:20:00,2024-01-06 04:20:00
S292,O292,shipped,2024-01-04 00:30:00,2024-01-06 08:30:00
S293,O293,delivered,2024-01-04 00:40:00,2024-01-06 07:40:00
S294,O294,delivered,2024-01-04 00:50:00,2024-01-06 09:50:00
S295,O295,pending,2024-01-04 01:00:00,2024-01-06 02:00:00
S296,O296,delivered,2024-01-04 01:10:00,2024-01-06 06:10:00
S297,O297,delivered,2024-01-04 01:20:00,2024-01-06 11:20:00
S298,O298,shipped,2024-01-04 01:30:00,2024-01-06 09:30:00
S299,O299,delivered,2024-01-04 01:40:00,2024-01-06 11:40:00
S300,O300,shipped,2024-01-04 01:50:00,2024-01-06 10:50:00
S301,O301,pending,2024-01-04 02:00:00,2024-01-06 02:00:00
S302,O302,shipped,2024-01-04 02:10:00,2024-01-06 11:10:00
S303,O303,delivered,2024-01-04 02:20:00,2024-01-06 05:20:00
S304,O304,delivered,2024-01-04 02:30:00,2024-01-06 06:30:00
S305,O305,pending,2024-01-04 02:40:00,2024-01-06 08:40:00
S306,O306,shipped,2024-01-04 02:50:00,2024-01-06 04:50:00
S307,O307,pending,2024-01-04 03:00:00,2024-01-06 13:00:00
S308,O308,pending,2024-01-04 03:10:00,2024-01-06 04:10:00
S309,O309,shipped,2024-01-04 03:20:00,2024-01-06 08:20:00
S310,O310,delivered,2024-01-04 03:30:00,2024-01-06 06:30:00
S311,O311,shipped,2024-01-04 03:40:00,2024-01-06 07:40:00
S312,O312,delivered,2024-01-04 03:50:00,2024-01-06 07:50:00
S313,O313,delivered,2024-01-04 04:00:00,2024-01-06 06:00:00
S314,O314,pending,2024-01-04 04:10:00,2024-01-06 05:10:00
S315,O315,delivered,2024-01-04 04:20:00,2024-01-06 09:20:00
S316,O316,pending,2024-01-04 04:30:00,2024-01-06 08:30:00
S317,O317,pending,2024-01-04 04:40:00,2024-01-06 04:40:00
S318,O318,pending,2024-01-04 04:50:00,2024-01-06 06:50:00
S319,O319,pending,2024-01-04 05:00:00,2024-01-06 12:00:00
S320,O320,shipped,2024-01-04 05:10:00,2024-01-06 15:10:00
S321,O321,delivered,2024-01-04 05:20:00,2024-01-06 06:20:00
S322,O322,delivered,2024-01-04 05:30:00,2024-01-06 05:30:00
S323,O323,pending,2024-01-04 05:40:00,2024-01-06 09:40:00
S324,O324,delivered,2024-01-04 05:50:00,2024-01-06 11:50:00
S325,O325,pending,2024-01-04 06:00:00,2024-01-06 12:00:00
S326,O326,pending,2024-01-04 06:10:00,2024-01-06 10:10:00
S327,O327,pending,2024-01-04 06:20:00,2024-01-06 09:20:00
S328,O328,pending,2024-01-04 06:30:00,2024-01-06 16:30:00
S329,O329,pending,2024-01-04 06:40:00,2024-01-06 16:40:00
S330,O330,pending,2024-01-04 06:50:00,2024-01-06 16:50:00
S331,O331,pending,2024-01-04 07:00:00,2024-01-06 10:00:00
S332,O332,delivered,2024-01-04 07:10:00,2024-01-06 12:10:00
S333,O333,pending,2024-01-04 07:20:00,2024-01-06 10:20:00
S334,O334,pending,2024-01-04 07:30:00,2024-01-06 17:30:00
S335,O335,shipped,2024-01-04 07:40:00,2024-01-06 17:40:00
S336,O336,delivered,2024-01-04 07:50:00,2024-01-06 10:50:00
S337,O337,shipped,2024-01-04 08:00:00,2024-01-06 12:00:00
S338,O338,pending,2024-01-04 08:10:00,2024-01-06 10:10:00
S339,O339,shipped,2024-01-04 08:20:00,2024-01-06 11:20:00
S340,O340,delivered,2024-01-04 08:30:00,2024-01-06 08:30:00
S341,O341,pending,2024-01-04 08:40:00,2024-01-06 11:40:00
S342,O342,shipped,2024-01-04 08:50:00,2024-01-06 14:50:00
S343,O343,pending,2024-01-04 09:00:00,2024-01-06 13:00:00
S344,O344,pending,2024-01-04 09:10:00,2024-01-06 10:10:00
S345,O345,delivered,2024-01-04 09:20:00,2024-01-06 19:20:00
S346,O346,pending,2024-01-04 09:30:00,2024-01-06 11:30:00
S347,O347,shipped,2024-01-04 09:40:00,2024-01-06 11:40:00
S348,O348,delivered,2024-01-04 09:50:00,2024-01-06 17:50:00
S349,O349,shipped,2024-01-04 10:00:00,2024-01-06 15:00:00
S350,O350,delivered,2024-01-04 10:10:00,2024-01-06 17:10:00
S351,O351,shipped,2024-01-04 10:20:00,2024-01-06 12:20:00
S352,O352,delivered,2024-01-04 10:30:00,2024-01-06 20:30:00
S353,O353,pending,2024-01-04 10:40:00,2024-01-06 13:40:00
S354,O354,delivered,2024-01-04 10:50:00,2024-01-06 12:50:00
S355,O355,shipped,2024-01-04 11:00:00,2024-01-06 11:00:00
S356,O356,delivered,2024-01-04 11:10:00,2024-01-06 11:10:00
S357,O357,shipped,2024-01-04 11:20:00,2024-01-06 12:20:00
S358,O358,shipped,2024-01-04 11:30:00,2024-01-06 11:30:00
S359,O359,delivered,2024-01-04 11:40:00,2024-01-06 21:40:00
S360,O360,pending,2024-01-04 11:50:00,2024-01-06 19:50:00
S361,O361,shipped,2024-01-04 12:00:00,2024-01-06 12:00:00
S362,O362,shipped,2024-01-04 12:10:00,2024-01-06 15:10:00
S363,O363,shipped,2024-01-04 12:20:00,2024-01-06 22:20:00
S364,O364,pending,2024-01-04 12:30:00,2024-01-06 19:30:00
S365,O365,shipped,2024-01-04 12:40:00,2024-01-06 19:40:00
S366,O366,pending,2024-01-04 12:50:00,2024-01-06 15:50:00
S367,O367,pending,2024-01-04 13:00:00,2024-01-06 19:00:00
S368,O368,delivered,2024-01-04 13:10:00,2024-01-06 16:10:00
S369,O369,pending,2024-01-04 13:20:00,2024-01-06 21:20:00
S370,O370,delivered,2024-01-04 13:30:00,2024-01-06 22:30:00
S371,O371,pending,2024-01-04 13:40:00,2024-01-06 14:40:00
S372,O372,shipped,2024-01-04 13:50:00,2024-01-06 14:50:00
S373,O373,delivered,2024-01-04 14:00:00,2024-01-06 15:00:00
S374,O374,pending,2024-01-04 14:10:00,2024-01-06 20:10:00
S375,O375,delivered,2024-01-04 14:20:00,2024-01-06 14:20:00
S376,O376,pending,2024-01-04 14:30:00,2024-01-06 15:30:00
S377,O377,pending,2024-01-04 14:40:00,2024-01-06 18:40:00
S378,O378,shipped,2024-01-04 14:50:00,2024-01-06 14:50:00
S379,O379,shipped,2024-01-04 15:00:00,2024-01-06 17:00:00
S380,O380,delivered,2024-01-04 15:10:00,2024-01-06 19:10:00
S381,O381,delivered,2024-01-04 15:20:00,2024-01-06 21:20:00
S382,O382,delivered,2024-01-04 15:30:00,2024-01-07 00:30:00
S383,O383,delivered,2024-01-04 15:40:00,2024-01-06 16:40:00
S384,O384,pending,2024-01-04 15:50:00,2024-01-06 15:50:00
S385,O385,shipped,2024-01-04 16:00:00,2024-01-06 16:00:00
S386,O386,shipped,2024-01-04 16:10:00,2024-01-06 19:10:00
S387,O387,shipped,2024-01-04 16:20:00,2024-01-06 20:20:00
S388,O388,delivered,2024-01-04 16:30:00,2024-01-06 19:30:00
S389,O389,delivered,2024-01-04 16:40:00,2024-01-06 16:40:00
S390,O390,pending,2024-01-04 16:50:00,2024-01-07 02:50:00
S391,O391,pending,2024-01-04 17:00:00,2024-01-06 19:00:00
